method,identity_group,n,positive_n,negative_n,accuracy,auc,fp_rate,fn_rate,positive_prediction_rate
erm,male,2137,329,1808,0.8689751988769303,0.9011762985179009,0.10176991150442478,0.2917933130699088,0.19513336452971455
erm,female,2441,337,2104,0.8922572716099959,0.9147878563933612,0.07081749049429657,0.33827893175074186,0.15239655878738223
erm,LGBTQ,684,182,502,0.7690058479532164,0.830420077930038,0.18326693227091634,0.3626373626373626,0.30409356725146197
erm,christian,1993,185,1808,0.9136979427997993,0.9089556924180818,0.042588495575221236,0.5135135135135135,0.08379327646763673
erm,muslim,1060,236,824,0.8245283018867925,0.8557805043607043,0.10315533980582524,0.4279661016949153,0.20754716981132076
erm,other_religions,511,78,433,0.8708414872798435,0.8801740984189022,0.06235565819861432,0.5,0.12915851272015655
erm,black,711,224,487,0.7791842475386779,0.8591320768553828,0.1868583162217659,0.29464285714285715,0.350210970464135
erm,white,1164,330,834,0.7757731958762887,0.8280121357459488,0.1630695443645084,0.3787878787878788,0.2929553264604811
erm,no_identity,12144,965,11179,0.9454874835309618,0.9536900007276783,0.032471598532963594,0.30984455958549223,0.08473320158102766
cda,male,2137,329,1808,0.8745905474964905,0.8989159964494177,0.07688053097345132,0.39209726443769,0.1586335985025737
cda,female,2441,337,2104,0.8984022941417452,0.9111660987690537,0.05418250950570342,0.39762611275964393,0.12986480950430151
cda,LGBTQ,684,182,502,0.7719298245614035,0.8257793003808941,0.13545816733067728,0.4835164835164835,0.23684210526315788
cda,christian,1993,185,1808,0.9101856497742097,0.8992854580243961,0.04811946902654867,0.4972972972972973,0.09031610637230306
cda,muslim,1060,236,824,0.8254716981132075,0.8503424798420274,0.10679611650485436,0.4110169491525424,0.21415094339622642
cda,other_religions,511,78,433,0.863013698630137,0.8758808550956357,0.07390300230946882,0.48717948717948717,0.14090019569471623
cda,black,711,224,487,0.7848101265822784,0.8585316441771781,0.13963039014373715,0.3794642857142857,0.2911392405063291
cda,white,1164,330,834,0.7671821305841925,0.8223330426567838,0.18345323741007194,0.3575757575757576,0.313573883161512
cda,no_identity,12144,965,11179,0.9439229249011858,0.9492438866916921,0.03291886573038733,0.3243523316062176,0.08399209486166008
clp,male,2137,329,1808,0.868039307440337,0.8876001963579633,0.09734513274336283,0.3221884498480243,0.18671034160037436
clp,female,2441,337,2104,0.8902089307660794,0.8984589195653891,0.0655893536121673,0.3857566765578635,0.14133551823023352
clp,LGBTQ,684,182,502,0.7733918128654971,0.7948863885118865,0.13346613545816732,0.4835164835164835,0.23538011695906433
clp,christian,1993,185,1808,0.9081786251881585,0.8849094116240135,0.05309734513274336,0.4702702702702703,0.09734069242348219
clp,muslim,1060,236,824,0.8160377358490566,0.8479924304755637,0.125,0.3898305084745763,0.2330188679245283
clp,other_religions,511,78,433,0.87279843444227,0.8552880914312786,0.08083140877598152,0.38461538461538464,0.162426614481409
clp,black,711,224,487,0.7383966244725738,0.8374981666177764,0.28336755646817247,0.21428571428571427,0.44163150492264414
clp,white,1164,330,834,0.697594501718213,0.8147373010682363,0.34652278177458035,0.19090909090909092,0.47766323024054985
clp,no_identity,12144,965,11179,0.9455698287220027,0.9396462742178966,0.03327667948832633,0.2994818652849741,0.0862977602108037
proposed,male,2137,329,1808,0.8848853532990173,0.9020042633886542,0.05918141592920354,0.42249240121580545,0.13897987833411324
proposed,female,2441,337,2104,0.9037279803359279,0.9175549469147364,0.04325095057034221,0.42729970326409494,0.11634575993445309
proposed,LGBTQ,684,182,502,0.7865497076023392,0.8246847773740205,0.05776892430278884,0.6428571428571429,0.13742690058479531
proposed,christian,1993,185,1808,0.9162067235323633,0.9034112652475484,0.040376106194690266,0.5081081081081081,0.08228800802809834
proposed,muslim,1060,236,824,0.8424528301886792,0.8463777357248643,0.05825242718446602,0.5042372881355932,0.15566037735849056
proposed,other_religions,511,78,433,0.8806262230919765,0.8728015633327411,0.03464203233256351,0.5897435897435898,0.09197651663405088
proposed,black,711,224,487,0.7974683544303798,0.8599570988559695,0.07186858316221766,0.48660714285714285,0.2109704641350211
proposed,white,1164,330,834,0.8015463917525774,0.8257866434125427,0.08513189448441247,0.48484848484848486,0.20704467353951891
proposed,no_identity,12144,965,11179,0.9420289855072463,0.9508885785570372,0.039359513373289204,0.27357512953367874,0.09395586297760211
